ticker,start_date,end_date,is_done
AIN,20180601T0001,20181231T2359,
AIRC,20180601T0001,20181231T2359,
AIT,20180601T0001,20181231T2359,
AIZ,20180601T0001,20181231T2359,
AJG,20180601T0001,20181231T2359,
AJRD,20180601T0001,20181231T2359,
AKAM,20180601T0001,20181231T2359,
AL,20180601T0001,20181231T2359,
ALB,20180601T0001,20181231T2359,
ALC,20180601T0001,20181231T2359,
ALE,20180601T0001,20181231T2359,
ALGM,20180601T0001,20181231T2359,
ALGN,20180601T0001,20181231T2359,
ALHC,20180601T0001,20181231T2359,
ALIT,20180601T0001,20181231T2359,
ALK,20180601T0001,20181231T2359,
ALKS,20180601T0001,20181231T2359,
ALL,20180601T0001,20181231T2359,
ALLE,20180601T0001,20181231T2359,
ALLO,20180601T0001,20181231T2359,
ALLY,20180601T0001,20181231T2359,
ALNY,20180601T0001,20181231T2359,
ALRM,20180601T0001,20181231T2359,
ALSN,20180601T0001,20181231T2359,
ALTR,20180601T0001,20181231T2359,
ALV,20180601T0001,20181231T2359,
AM,20180601T0001,20181231T2359,
AMAT,20180601T0001,20181231T2359,
AMBA,20180601T0001,20181231T2359,
AMBP,20180601T0001,20181231T2359,
AMC,20180601T0001,20181231T2359,
AMCR,20180601T0001,20181231T2359,
AMD,20180601T0001,20181231T2359,
AME,20180601T0001,20181231T2359,
AMED,20180601T0001,20181231T2359,
A,20190101T0001,20190531T2359,
AA,20190101T0001,20190531T2359,
AAL,20190101T0001,20190531T2359,
AAON,20190101T0001,20190531T2359,
AAP,20190101T0001,20190531T2359,
AAPL,20190101T0001,20190531T2359,
AAWW,20190101T0001,20190531T2359,
AB,20190101T0001,20190531T2359,
ABB,20190101T0001,20190531T2359,
ABBV,20190101T0001,20190531T2359,
ABC,20190101T0001,20190531T2359,
ABCB,20190101T0001,20190531T2359,
ABCL,20190101T0001,20190531T2359,
ABCM,20190101T0001,20190531T2359,
ABEV,20190101T0001,20190531T2359,
ABG,20190101T0001,20190531T2359,
ABM,20190101T0001,20190531T2359,
ABMD,20190101T0001,20190531T2359,
ABNB,20190101T0001,20190531T2359,
ABR,20190101T0001,20190531T2359,
ABT,20190101T0001,20190531T2359,
ACA,20190101T0001,20190531T2359,
ACAD,20190101T0001,20190531T2359,
ACGL,20190101T0001,20190531T2359,
ACH,20190101T0001,20190531T2359,
ACHC,20190101T0001,20190531T2359,
ACI,20190101T0001,20190531T2359,
ACIW,20190101T0001,20190531T2359,
ACLS,20190101T0001,20190531T2359,
ACM,20190101T0001,20190531T2359,
ACN,20190101T0001,20190531T2359,
ACT,20190101T0001,20190531T2359,
ADBE,20190101T0001,20190531T2359,
ADC,20190101T0001,20190531T2359,
ADI,20190101T0001,20190531T2359,
ADM,20190101T0001,20190531T2359,
ADNT,20190101T0001,20190531T2359,
ADP,20190101T0001,20190531T2359,
ADSK,20190101T0001,20190531T2359,
ADT,20190101T0001,20190531T2359,
ADX,20190101T0001,20190531T2359,
AEE,20190101T0001,20190531T2359,
AEG,20190101T0001,20190531T2359,
AEIS,20190101T0001,20190531T2359,
AEL,20190101T0001,20190531T2359,
AEM,20190101T0001,20190531T2359,
AEO,20190101T0001,20190531T2359,
AEP,20190101T0001,20190531T2359,
AER,20190101T0001,20190531T2359,
AES,20190101T0001,20190531T2359,
AFG,20190101T0001,20190531T2359,
AFL,20190101T0001,20190531T2359,
AFRM,20190101T0001,20190531T2359,
AG,20190101T0001,20190531T2359,
AGCO,20190101T0001,20190531T2359,
AGI,20190101T0001,20190531T2359,
AGL,20190101T0001,20190531T2359,
AGNC,20190101T0001,20190531T2359,
AGO,20190101T0001,20190531T2359,
AGR,20190101T0001,20190531T2359,
AGTI,20190101T0001,20190531T2359,
AHCO,20190101T0001,20190531T2359,
AI,20190101T0001,20190531T2359,
AIG,20190101T0001,20190531T2359,
AIMC,20190101T0001,20190531T2359,
AIN,20190101T0001,20190531T2359,
AIRC,20190101T0001,20190531T2359,
AIT,20190101T0001,20190531T2359,
AIZ,20190101T0001,20190531T2359,
AJG,20190101T0001,20190531T2359,
AJRD,20190101T0001,20190531T2359,
AKAM,20190101T0001,20190531T2359,
AL,20190101T0001,20190531T2359,
ALB,20190101T0001,20190531T2359,
ALC,20190101T0001,20190531T2359,
ALE,20190101T0001,20190531T2359,
ALGM,20190101T0001,20190531T2359,
ALGN,20190101T0001,20190531T2359,
ALHC,20190101T0001,20190531T2359,
ALIT,20190101T0001,20190531T2359,
ALK,20190101T0001,20190531T2359,
ALKS,20190101T0001,20190531T2359,
ALL,20190101T0001,20190531T2359,
ALLE,20190101T0001,20190531T2359,
ALLO,20190101T0001,20190531T2359,
ALLY,20190101T0001,20190531T2359,
ALNY,20190101T0001,20190531T2359,
ALRM,20190101T0001,20190531T2359,
ALSN,20190101T0001,20190531T2359,
ALTR,20190101T0001,20190531T2359,
ALV,20190101T0001,20190531T2359,
AM,20190101T0001,20190531T2359,
AMAT,20190101T0001,20190531T2359,
AMBA,20190101T0001,20190531T2359,
AMBP,20190101T0001,20190531T2359,
AMC,20190101T0001,20190531T2359,
AMCR,20190101T0001,20190531T2359,
AMD,20190101T0001,20190531T2359,
AME,20190101T0001,20190531T2359,
AMED,20190101T0001,20190531T2359,
A,20190601T0001,20191231T2359,
AA,20190601T0001,20191231T2359,
AAL,20190601T0001,20191231T2359,
AAON,20190601T0001,20191231T2359,
AAP,20190601T0001,20191231T2359,
AAPL,20190601T0001,20191231T2359,
AAWW,20190601T0001,20191231T2359,
AB,20190601T0001,20191231T2359,
ABB,20190601T0001,20191231T2359,
ABBV,20190601T0001,20191231T2359,
ABC,20190601T0001,20191231T2359,
ABCB,20190601T0001,20191231T2359,
ABCL,20190601T0001,20191231T2359,
ABCM,20190601T0001,20191231T2359,
ABEV,20190601T0001,20191231T2359,
ABG,20190601T0001,20191231T2359,
ABM,20190601T0001,20191231T2359,
ABMD,20190601T0001,20191231T2359,
ABNB,20190601T0001,20191231T2359,
ABR,20190601T0001,20191231T2359,
ABT,20190601T0001,20191231T2359,
ACA,20190601T0001,20191231T2359,
ACAD,20190601T0001,20191231T2359,
ACGL,20190601T0001,20191231T2359,
ACH,20190601T0001,20191231T2359,
ACHC,20190601T0001,20191231T2359,
ACI,20190601T0001,20191231T2359,
ACIW,20190601T0001,20191231T2359,
ACLS,20190601T0001,20191231T2359,
ACM,20190601T0001,20191231T2359,
ACN,20190601T0001,20191231T2359,
ACT,20190601T0001,20191231T2359,
ADBE,20190601T0001,20191231T2359,
ADC,20190601T0001,20191231T2359,
ADI,20190601T0001,20191231T2359,
ADM,20190601T0001,20191231T2359,
ADNT,20190601T0001,20191231T2359,
ADP,20190601T0001,20191231T2359,
ADSK,20190601T0001,20191231T2359,
ADT,20190601T0001,20191231T2359,
ADX,20190601T0001,20191231T2359,
AEE,20190601T0001,20191231T2359,
AEG,20190601T0001,20191231T2359,
AEIS,20190601T0001,20191231T2359,
AEL,20190601T0001,20191231T2359,
AEM,20190601T0001,20191231T2359,
AEO,20190601T0001,20191231T2359,
AEP,20190601T0001,20191231T2359,
AER,20190601T0001,20191231T2359,
AES,20190601T0001,20191231T2359,
AFG,20190601T0001,20191231T2359,
AFL,20190601T0001,20191231T2359,
AFRM,20190601T0001,20191231T2359,
AG,20190601T0001,20191231T2359,
AGCO,20190601T0001,20191231T2359,
AGI,20190601T0001,20191231T2359,
AGL,20190601T0001,20191231T2359,
AGNC,20190601T0001,20191231T2359,
AGO,20190601T0001,20191231T2359,
AGR,20190601T0001,20191231T2359,
AGTI,20190601T0001,20191231T2359,
